Date,Open,High,Low,Close,Adj Close,Volume
2010-12-01,57.099998,59.220001,56.279999,57.220001,31.061728,2140400
2011-01-01,57.450001,64.949997,57.220001,61.970001,33.640251,3944900
2011-02-01,63.520000,71.250000,63.520000,71.190002,38.645302,3571900
2011-03-01,71.199997,75.980003,66.550003,71.389999,38.753876,4681200
2011-04-01,72.610001,73.620003,66.440002,69.699997,37.836464,2862900
2011-05-01,69.500000,69.849998,59.349998,64.300003,34.905090,3561800
2011-06-01,63.910000,64.949997,60.369999,63.750000,35.719246,2227100
2011-07-01,64.110001,68.129997,63.549999,67.150002,37.624268,1385500
2011-08-01,68.040001,68.099998,52.570000,59.700001,33.450020,4311000
2011-09-01,59.709999,60.490002,47.599998,50.189999,28.121550,3003500
2011-10-01,49.270000,60.200001,43.740002,57.700001,32.329426,4238900
2011-11-01,56.080002,60.150002,51.400002,56.209999,31.494566,2625700
2011-12-01,55.220001,56.299999,49.529999,53.200001,29.808056,2861700
2012-01-01,54.430000,58.770000,53.680000,58.340000,32.688015,2089100
2012-02-01,58.889999,64.800003,58.889999,63.750000,35.719246,2377200
2012-03-01,63.849998,65.650002,59.700001,60.799999,34.066353,1934700
2012-04-01,60.459999,62.610001,59.400002,61.349998,34.374519,1471400
2012-05-01,61.290001,62.000000,50.209999,52.200001,29.247755,2584800
2012-06-01,51.110001,56.080002,51.110001,56.080002,32.661694,2361200
2012-07-01,55.439999,57.450001,54.000000,56.200001,32.731583,1087400
2012-08-01,56.799999,59.650002,55.369999,56.820000,33.092682,1330700
2012-09-01,58.090000,66.650002,57.279999,61.540001,35.841667,1929000
2012-10-01,62.599998,64.769997,59.619999,60.200001,35.061226,1503500
2012-11-01,60.980000,63.000000,58.099998,62.930000,36.651218,1815300
2012-12-01,63.090000,67.589996,62.439999,67.500000,40.109245,1475800
2013-01-01,66.940002,67.599998,65.250000,67.599998,40.168667,1905600
2013-02-01,67.209999,67.800003,64.050003,64.500000,38.326618,2003900
2013-03-01,64.000000,67.239998,62.090000,64.500000,38.326618,1844500
